Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Kuwait,KWT,EMR,HIC,2026,1,5_14,
Greece,GRC,EUR,HIC,2026,1,15_64,3
Greece,GRC,EUR,HIC,2026,1,5_14,0
Gibraltar,GIB,EUR,HIC,2026,1,65+,
Gibraltar,GIB,EUR,HIC,2026,1,0_4,
Gibraltar,GIB,EUR,HIC,2026,1,5_14,
Gibraltar,GIB,EUR,HIC,2026,1,15_64,
Ghana,GHA,AFR,LMC,2026,1,15_64,
Ghana,GHA,AFR,LMC,2026,1,65+,
Ghana,GHA,AFR,LMC,2026,1,0_4,
Ghana,GHA,AFR,LMC,2026,1,5_14,
Germany,DEU,EUR,HIC,2026,1,65+,
Germany,DEU,EUR,HIC,2026,1,15_64,
Germany,DEU,EUR,HIC,2026,1,0_4,
Germany,DEU,EUR,HIC,2026,1,5_14,
Georgia,GEO,EUR,UMC,2026,1,5_14,
Georgia,GEO,EUR,UMC,2026,1,0_4,
Georgia,GEO,EUR,UMC,2026,1,65+,
Georgia,GEO,EUR,UMC,2026,1,15_64,
Gambia,GMB,AFR,LIC,2026,1,5_14,
Gambia,GMB,AFR,LIC,2026,1,0_4,
Gambia,GMB,AFR,LIC,2026,1,65+,
Gambia,GMB,AFR,LIC,2026,1,15_64,
Gabon,GAB,AFR,UMC,2026,1,65+,
Gabon,GAB,AFR,UMC,2026,1,0_4,
Gabon,GAB,AFR,UMC,2026,1,5_14,
Gabon,GAB,AFR,UMC,2026,1,15_64,
French Southern Territories,ATF,AFR,,2026,1,5_14,
French Southern Territories,ATF,AFR,,2026,1,15_64,
French Southern Territories,ATF,AFR,,2026,1,0_4,
Greece,GRC,EUR,HIC,2026,1,65+,34
French Southern Territories,ATF,AFR,,2026,1,65+,
Greece,GRC,EUR,HIC,2026,1,0_4,0
Greenland,GRL,EUR,HIC,2026,1,15_64,
Guinea-Bissau,GNB,AFR,LIC,2026,1,15_64,
Guinea-Bissau,GNB,AFR,LIC,2026,1,5_14,
Guinea-Bissau,GNB,AFR,LIC,2026,1,0_4,
Guinea,GIN,AFR,LMC,2026,1,5_14,
Guinea,GIN,AFR,LMC,2026,1,15_64,
Guinea,GIN,AFR,LMC,2026,1,0_4,
Guinea,GIN,AFR,LMC,2026,1,65+,
Guernsey,GGY,EUR,,2026,1,5_14,
Guernsey,GGY,EUR,,2026,1,0_4,
Guernsey,GGY,EUR,,2026,1,15_64,
Guernsey,GGY,EUR,,2026,1,65+,
Guatemala,GTM,AMR,UMC,2026,1,5_14,0
Guatemala,GTM,AMR,UMC,2026,1,15_64,0
Guatemala,GTM,AMR,UMC,2026,1,65+,0
Guatemala,GTM,AMR,UMC,2026,1,0_4,0
Guam,GUM,WPR,HIC,2026,1,5_14,
Guam,GUM,WPR,HIC,2026,1,0_4,
Guam,GUM,WPR,HIC,2026,1,15_64,
Guam,GUM,WPR,HIC,2026,1,65+,
