lib_dep,tx_incid
Ain,365.80896581945666
Aisne,317.6668448729185
Allier,322.2813146362839
Alpes-Maritimes,400.58914986853637
Alpes-de-Haute-Provence,368.9509114811569
Ardennes,362.9742769500438
Ardèche,360.87430324276954
Ariège,360.3416652059597
Aube,311.00940403155124
Aude,337.2693339176161
Aveyron,369.6142243645925
Bas-Rhin,386.4158106923751
Bouches-du-Rhône,427.6002804557406
Calvados,330.43697633654693
Cantal,321.98473269062225
Charente,304.2479929886065
Charente-Maritime,312.41475898334795
Cher,313.89922874671345
Corrèze,340.1275635407537
Corse-du-Sud,368.7978615249781
Creuse,303.72010517090274
Côte-d'Or,356.2233479404032
Côtes-d'Armor,311.984425942156
Deux-Sèvres,325.27
Dordogne,310.071226993865
Doubs,367.9611130587204
Drôme,364.6136722173532
Essonne,344.3669412795793
Eure,304.478773006135
Eure-et-Loir,310.1344171779141
Finistère,314.8533917616126
Gard,365.6919719544259
Gers,336.088527607362
Gironde,351.65685363716034
Guadeloupe,341.00855390008763
Guyane,207.2865644171779
Haut-Rhin,351.7174758983348
Haute-Corse,358.33109553023667
Haute-Garonne,395.2019456617002
Haute-Loire,381.204758983348
Haute-Marne,321.469509202454
Haute-Savoie,368.8355390008764
Haute-Saône,335.3301752848378
Haute-Vienne,340.78805433829973
Hautes-Alpes,358.7455652936021
Hautes-Pyrénées,354.63572304995614
Hauts-de-Seine,367.0321822962313
Hérault,372.22195442594216
Ille-et-Vilaine,356.8706660823839
Indre,295.7419193689746
Indre-et-Loire,335.33085013146365
Isère,386.66699386503063
Jura,364.16361086765994
Landes,356.10258545135844
Loir-et-Cher,307.1129097283085
Loire,386.220569675723
Loire-Atlantique,341.37305872042066
Loiret,318.2332865907099
Lot,321.72476774758985
Lot-et-Garonne,318.8278089395267
Lozère,327.1806748466258
Maine-et-Loire,332.21449605609115
Manche,314.2668185801928
Marne,330.36146362839617
Martinique,398.3192199824715
Mayenne,307.7510429447853
Mayotte,88.23612620508325
Meurthe-et-Moselle,356.1783523225241
Meuse,325.6187291849255
Morbihan,319.331226993865
Moselle,365.4310604732691
Nièvre,298.1097896581946
Nord,373.3867309377739
Oise,333.23377738825593
Orne,300.30190184049076
Paris,387.3534969325154
Pas-de-Calais,353.2481770376862
Puy-de-Dôme,343.4498860648554
Pyrénées-Atlantiques,366.98865030674847
Pyrénées-Orientales,344.388361086766
Rhône,401.32631901840494
Réunion,376.41010517090274
Sarthe,324.6663014899211
Savoie,373.249176161262
Saône-et-Loire,328.4245661700263
Seine-Maritime,337.6623400525854
Seine-Saint-Denis,310.8908851884312
Seine-et-Marne,347.96811568799296
Somme,334.18032427695005
Tarn,358.2160385626643
Tarn-et-Garonne,360.8092375109553
Territoire de Belfort,341.20167397020157
Val-d'Oise,351.343365468887
Val-de-Marne,356.41436459246273
Var,381.7785451358458
Vaucluse,371.26160385626645
Vendée,329.411393514461
Vienne,323.01515337423314
Vosges,332.761226993865
Yonne,311.04680105170905
Yvelines,353.9414811568799
