,jour,nomReg,numReg,incid_rea
0,2020-03-19,Guadeloupe,1.0,0
1,2020-03-20,Guadeloupe,1.0,0
2,2020-03-21,Guadeloupe,1.0,0
3,2020-03-22,Guadeloupe,1.0,5
4,2020-03-23,Guadeloupe,1.0,0
5,2020-03-24,Guadeloupe,1.0,0
6,2020-03-25,Guadeloupe,1.0,0
7,2020-03-26,Guadeloupe,1.0,3
8,2020-03-27,Guadeloupe,1.0,7
9,2020-03-28,Guadeloupe,1.0,0
10,2020-03-29,Guadeloupe,1.0,0
11,2020-03-30,Guadeloupe,1.0,4
12,2020-03-31,Guadeloupe,1.0,2
13,2020-04-01,Guadeloupe,1.0,2
14,2020-04-02,Guadeloupe,1.0,4
15,2020-04-03,Guadeloupe,1.0,1
16,2020-04-04,Guadeloupe,1.0,2
17,2020-04-05,Guadeloupe,1.0,2
18,2020-04-06,Guadeloupe,1.0,0
19,2020-04-07,Guadeloupe,1.0,0
20,2020-04-08,Guadeloupe,1.0,1
21,2020-04-09,Guadeloupe,1.0,2
22,2020-04-10,Guadeloupe,1.0,3
23,2020-04-11,Guadeloupe,1.0,0
24,2020-04-12,Guadeloupe,1.0,0
25,2020-04-13,Guadeloupe,1.0,0
26,2020-04-14,Guadeloupe,1.0,0
27,2020-04-15,Guadeloupe,1.0,1
28,2020-04-16,Guadeloupe,1.0,0
29,2020-04-17,Guadeloupe,1.0,2
30,2020-04-18,Guadeloupe,1.0,0
31,2020-04-19,Guadeloupe,1.0,0
32,2020-04-20,Guadeloupe,1.0,0
33,2020-04-21,Guadeloupe,1.0,1
34,2020-04-22,Guadeloupe,1.0,0
35,2020-04-23,Guadeloupe,1.0,1
36,2020-04-24,Guadeloupe,1.0,0
37,2020-04-25,Guadeloupe,1.0,0
38,2020-04-26,Guadeloupe,1.0,1
39,2020-04-27,Guadeloupe,1.0,0
40,2020-04-28,Guadeloupe,1.0,0
41,2020-04-29,Guadeloupe,1.0,1
42,2020-04-30,Guadeloupe,1.0,0
43,2020-05-01,Guadeloupe,1.0,0
44,2020-05-02,Guadeloupe,1.0,0
45,2020-05-03,Guadeloupe,1.0,0
46,2020-05-04,Guadeloupe,1.0,0
47,2020-05-05,Guadeloupe,1.0,0
48,2020-05-06,Guadeloupe,1.0,0
49,2020-05-07,Guadeloupe,1.0,0
50,2020-05-08,Guadeloupe,1.0,0
51,2020-05-09,Guadeloupe,1.0,0
52,2020-05-10,Guadeloupe,1.0,0
53,2020-05-11,Guadeloupe,1.0,0
54,2020-05-12,Guadeloupe,1.0,0
55,2020-05-13,Guadeloupe,1.0,0
56,2020-05-14,Guadeloupe,1.0,0
57,2020-05-15,Guadeloupe,1.0,0
58,2020-05-16,Guadeloupe,1.0,0
59,2020-05-17,Guadeloupe,1.0,0
60,2020-05-18,Guadeloupe,1.0,0
61,2020-05-19,Guadeloupe,1.0,0
62,2020-05-20,Guadeloupe,1.0,0
63,2020-05-21,Guadeloupe,1.0,0
64,2020-05-22,Guadeloupe,1.0,0
65,2020-05-23,Guadeloupe,1.0,0
66,2020-05-24,Guadeloupe,1.0,0
67,2020-05-25,Guadeloupe,1.0,1
68,2020-05-26,Guadeloupe,1.0,0
69,2020-05-27,Guadeloupe,1.0,0
70,2020-05-28,Guadeloupe,1.0,0
71,2020-05-29,Guadeloupe,1.0,0
72,2020-05-30,Guadeloupe,1.0,0
73,2020-05-31,Guadeloupe,1.0,0
74,2020-06-01,Guadeloupe,1.0,0
75,2020-06-02,Guadeloupe,1.0,0
76,2020-06-03,Guadeloupe,1.0,0
77,2020-06-04,Guadeloupe,1.0,0
78,2020-06-05,Guadeloupe,1.0,0
79,2020-06-06,Guadeloupe,1.0,0
80,2020-06-07,Guadeloupe,1.0,0
81,2020-06-08,Guadeloupe,1.0,0
82,2020-06-09,Guadeloupe,1.0,0
83,2020-06-10,Guadeloupe,1.0,0
84,2020-06-11,Guadeloupe,1.0,0
85,2020-06-12,Guadeloupe,1.0,0
86,2020-06-13,Guadeloupe,1.0,0
87,2020-06-14,Guadeloupe,1.0,0
88,2020-06-15,Guadeloupe,1.0,1
89,2020-06-16,Guadeloupe,1.0,0
90,2020-06-17,Guadeloupe,1.0,0
91,2020-06-18,Guadeloupe,1.0,0
92,2020-06-19,Guadeloupe,1.0,0
93,2020-06-20,Guadeloupe,1.0,0
94,2020-06-21,Guadeloupe,1.0,0
95,2020-06-22,Guadeloupe,1.0,0
96,2020-06-23,Guadeloupe,1.0,0
97,2020-06-24,Guadeloupe,1.0,0
98,2020-06-25,Guadeloupe,1.0,2
99,2020-06-26,Guadeloupe,1.0,0
100,2020-06-27,Guadeloupe,1.0,0
101,2020-06-28,Guadeloupe,1.0,0
102,2020-06-29,Guadeloupe,1.0,0
103,2020-06-30,Guadeloupe,1.0,0
104,2020-07-01,Guadeloupe,1.0,0
105,2020-07-02,Guadeloupe,1.0,1
106,2020-07-03,Guadeloupe,1.0,0
107,2020-07-04,Guadeloupe,1.0,0
108,2020-07-05,Guadeloupe,1.0,0
109,2020-07-06,Guadeloupe,1.0,0
110,2020-07-07,Guadeloupe,1.0,0
111,2020-07-08,Guadeloupe,1.0,0
112,2020-07-09,Guadeloupe,1.0,0
113,2020-07-10,Guadeloupe,1.0,0
114,2020-07-11,Guadeloupe,1.0,1
115,2020-07-12,Guadeloupe,1.0,0
116,2020-07-13,Guadeloupe,1.0,0
117,2020-07-14,Guadeloupe,1.0,0
118,2020-07-15,Guadeloupe,1.0,0
119,2020-07-16,Guadeloupe,1.0,0
120,2020-07-17,Guadeloupe,1.0,0
121,2020-07-18,Guadeloupe,1.0,0
122,2020-07-19,Guadeloupe,1.0,0
123,2020-07-20,Guadeloupe,1.0,0
124,2020-07-21,Guadeloupe,1.0,0
125,2020-07-22,Guadeloupe,1.0,0
126,2020-07-23,Guadeloupe,1.0,0
127,2020-07-24,Guadeloupe,1.0,0
128,2020-07-25,Guadeloupe,1.0,0
129,2020-07-26,Guadeloupe,1.0,0
130,2020-07-27,Guadeloupe,1.0,0
131,2020-07-28,Guadeloupe,1.0,0
132,2020-07-29,Guadeloupe,1.0,0
133,2020-07-30,Guadeloupe,1.0,0
134,2020-07-31,Guadeloupe,1.0,0
135,2020-08-01,Guadeloupe,1.0,0
136,2020-08-02,Guadeloupe,1.0,0
137,2020-08-03,Guadeloupe,1.0,0
138,2020-08-04,Guadeloupe,1.0,0
139,2020-08-05,Guadeloupe,1.0,0
140,2020-08-06,Guadeloupe,1.0,0
141,2020-08-07,Guadeloupe,1.0,0
142,2020-08-08,Guadeloupe,1.0,2
143,2020-08-09,Guadeloupe,1.0,0
144,2020-08-10,Guadeloupe,1.0,0
145,2020-08-11,Guadeloupe,1.0,0
146,2020-08-12,Guadeloupe,1.0,0
147,2020-08-13,Guadeloupe,1.0,1
148,2020-08-14,Guadeloupe,1.0,0
149,2020-08-15,Guadeloupe,1.0,0
150,2020-08-16,Guadeloupe,1.0,0
151,2020-08-17,Guadeloupe,1.0,0
152,2020-08-18,Guadeloupe,1.0,1
153,2020-08-19,Guadeloupe,1.0,2
154,2020-08-20,Guadeloupe,1.0,2
155,2020-08-21,Guadeloupe,1.0,0
156,2020-08-22,Guadeloupe,1.0,2
157,2020-08-23,Guadeloupe,1.0,0
158,2020-08-24,Guadeloupe,1.0,0
159,2020-08-25,Guadeloupe,1.0,3
160,2020-08-26,Guadeloupe,1.0,0
161,2020-08-27,Guadeloupe,1.0,0
162,2020-08-28,Guadeloupe,1.0,0
163,2020-08-29,Guadeloupe,1.0,6
164,2020-08-30,Guadeloupe,1.0,0
165,2020-08-31,Guadeloupe,1.0,0
166,2020-09-01,Guadeloupe,1.0,4
167,2020-09-02,Guadeloupe,1.0,0
168,2020-09-03,Guadeloupe,1.0,2
169,2020-09-04,Guadeloupe,1.0,1
170,2020-09-05,Guadeloupe,1.0,4
171,2020-09-06,Guadeloupe,1.0,0
172,2020-09-07,Guadeloupe,1.0,0
173,2020-09-08,Guadeloupe,1.0,7
174,2020-09-09,Guadeloupe,1.0,5
175,2020-09-10,Guadeloupe,1.0,2
176,2020-09-11,Guadeloupe,1.0,3
