lib_dep,R
Ain,1.0442777777777779
Aisne,1.0305555555555554
Allier,1.0442777777777779
Alpes-Maritimes,1.0317222222222222
Alpes-de-Haute-Provence,1.0317222222222222
Ardennes,1.0321666666666667
Ardèche,1.0442777777777779
Ariège,1.0433333333333334
Aube,1.0321666666666667
Aude,1.0433333333333334
Aveyron,1.0433333333333334
Bas-Rhin,1.0321666666666667
Bouches-du-Rhône,1.0317222222222222
Calvados,1.039388888888889
Cantal,1.0442777777777779
Charente,1.048111111111111
Charente-Maritime,1.048111111111111
Cher,1.0365
Corrèze,1.048111111111111
Corse-du-Sud,1.058109756097561
Creuse,1.048111111111111
Côte-d'Or,1.0378333333333334
Côtes-d'Armor,1.0451666666666666
Deux-Sèvres,1.048111111111111
Dordogne,1.048111111111111
Doubs,1.0378333333333334
Drôme,1.0442777777777779
Essonne,1.0180555555555555
Eure,1.039388888888889
Eure-et-Loir,1.0365
Finistère,1.0451666666666666
Gard,1.0433333333333334
Gers,1.0433333333333334
Gironde,1.048111111111111
Guadeloupe,1.0329518072289157
Guyane,1.0058988764044945
Haut-Rhin,1.0321666666666667
Haute-Corse,1.058109756097561
Haute-Garonne,1.0433333333333334
Haute-Loire,1.0442777777777779
Haute-Marne,1.0321666666666667
Haute-Savoie,1.0442777777777779
Haute-Saône,1.0378333333333334
Haute-Vienne,1.048111111111111
Hautes-Alpes,1.0317222222222222
Hautes-Pyrénées,1.0433333333333334
Hauts-de-Seine,1.0180555555555555
Hérault,1.0433333333333334
Ille-et-Vilaine,1.0451666666666666
Indre,1.0365
Indre-et-Loire,1.0365
Isère,1.0442777777777779
Jura,1.0378333333333334
Landes,1.048111111111111
Loir-et-Cher,1.0365
Loire,1.0442777777777779
Loire-Atlantique,1.035611111111111
Loiret,1.0365
Lot,1.0433333333333334
Lot-et-Garonne,1.048111111111111
Lozère,1.0433333333333334
Maine-et-Loire,1.035611111111111
Manche,1.039388888888889
Marne,1.0321666666666667
Martinique,1.0611309523809525
Mayenne,1.035611111111111
Mayotte,0.9926829268292683
Meurthe-et-Moselle,1.0321666666666667
Meuse,1.0321666666666667
Morbihan,1.0451666666666666
Moselle,1.0321666666666667
Nièvre,1.0378333333333334
Nord,1.0305555555555554
Oise,1.0305555555555554
Orne,1.039388888888889
Paris,1.0180555555555555
Pas-de-Calais,1.0305555555555554
Puy-de-Dôme,1.0442777777777779
Pyrénées-Atlantiques,1.048111111111111
Pyrénées-Orientales,1.0433333333333334
Rhône,1.0442777777777779
Réunion,1.035568862275449
Sarthe,1.035611111111111
Savoie,1.0442777777777779
Saône-et-Loire,1.0378333333333334
Seine-Maritime,1.039388888888889
Seine-Saint-Denis,1.0180555555555555
Seine-et-Marne,1.0180555555555555
Somme,1.0305555555555554
Tarn,1.0433333333333334
Tarn-et-Garonne,1.0433333333333334
Territoire de Belfort,1.0378333333333334
Val-d'Oise,1.0180555555555555
Val-de-Marne,1.0180555555555555
Var,1.0317222222222222
Vaucluse,1.0317222222222222
Vendée,1.035611111111111
Vienne,1.048111111111111
Vosges,1.0321666666666667
Yonne,1.0378333333333334
Yvelines,1.0180555555555555
