lib_dep,TO
Ain,0.3846079308288611
Aisne,0.42372526636225266
Allier,0.3846079308288611
Alpes-Maritimes,0.4271358695652175
Alpes-de-Haute-Provence,0.4271358695652175
Ardennes,0.35880645161290325
Ardèche,0.3846079308288611
Ariège,0.3083298171589311
Aube,0.35880645161290325
Aude,0.3083298171589311
Aveyron,0.3083298171589311
Bas-Rhin,0.35880645161290325
Bouches-du-Rhône,0.4271358695652175
Calvados,0.27066666666666667
Cantal,0.3846079308288611
Charente,0.2752346278317152
Charente-Maritime,0.2752346278317152
Cher,0.3604675925925926
Corrèze,0.2752346278317152
Corse-du-Sud,0.3871296296296296
Creuse,0.2752346278317152
Côte-d'Or,0.3776430976430977
Côtes-d'Armor,0.2528909465020576
Deux-Sèvres,0.2752346278317152
Dordogne,0.2752346278317152
Doubs,0.3776430976430977
Drôme,0.3846079308288611
Essonne,0.48607817494914257
Eure,0.27066666666666667
Eure-et-Loir,0.3604675925925926
Finistère,0.2528909465020576
Gard,0.3083298171589311
Gers,0.3083298171589311
Gironde,0.2752346278317152
Guadeloupe,0.4275617283950617
Guyane,0.6771794871794872
Haut-Rhin,0.35880645161290325
Haute-Corse,0.3871296296296296
Haute-Garonne,0.3083298171589311
Haute-Loire,0.3846079308288611
Haute-Marne,0.35880645161290325
Haute-Savoie,0.3846079308288611
Haute-Saône,0.3776430976430977
Haute-Vienne,0.2752346278317152
Hautes-Alpes,0.4271358695652175
Hautes-Pyrénées,0.3083298171589311
Hauts-de-Seine,0.48607817494914257
Hérault,0.3083298171589311
Ille-et-Vilaine,0.2528909465020576
Indre,0.3604675925925926
Indre-et-Loire,0.3604675925925926
Isère,0.3846079308288611
Jura,0.3776430976430977
Landes,0.2752346278317152
Loir-et-Cher,0.3604675925925926
Loire,0.3846079308288611
Loire-Atlantique,0.2754696132596685
Loiret,0.3604675925925926
Lot,0.3083298171589311
Lot-et-Garonne,0.2752346278317152
Lozère,0.3083298171589311
Maine-et-Loire,0.2754696132596685
Manche,0.27066666666666667
Marne,0.35880645161290325
Martinique,0.6017628205128205
Mayenne,0.2754696132596685
Mayotte,0.46722222222222226
Meurthe-et-Moselle,0.35880645161290325
Meuse,0.35880645161290325
Morbihan,0.2528909465020576
Moselle,0.35880645161290325
Nièvre,0.3776430976430977
Nord,0.42372526636225266
Oise,0.42372526636225266
Orne,0.27066666666666667
Paris,0.48607817494914257
Pas-de-Calais,0.42372526636225266
Puy-de-Dôme,0.3846079308288611
Pyrénées-Atlantiques,0.2752346278317152
Pyrénées-Orientales,0.3083298171589311
Rhône,0.3846079308288611
Réunion,0.35493589743589754
Sarthe,0.2754696132596685
Savoie,0.3846079308288611
Saône-et-Loire,0.3776430976430977
Seine-Maritime,0.27066666666666667
Seine-Saint-Denis,0.48607817494914257
Seine-et-Marne,0.48607817494914257
Somme,0.42372526636225266
Tarn,0.3083298171589311
Tarn-et-Garonne,0.3083298171589311
Territoire de Belfort,0.3776430976430977
Val-d'Oise,0.48607817494914257
Val-de-Marne,0.48607817494914257
Var,0.4271358695652175
Vaucluse,0.4271358695652175
Vendée,0.2754696132596685
Vienne,0.2752346278317152
Vosges,0.35880645161290325
Yonne,0.3776430976430977
Yvelines,0.48607817494914257
